event,event_date,event_label,event_type,x_query,x_language,wsj_file,official_file,analysis_note
dis03_product_service_launch_missing_date,,disney world and universal orlando go through growing pains | Product/Service.Launch,CSR/Brand,"($DIS OR DIS OR ""disney world universal"") (announce OR brand OR launch OR reputation)",en,,,Derived from SENTiVENT doc dis03 (sentences=29).
dis00_facility_open_missing_date,,disney world s big transformation is 10 days away | Facility.Open,Facility,"($DIS OR DIS OR ""disney world big"") (expansion OR facility OR plant)",en,,,Derived from SENTiVENT doc dis00 (sentences=27).
gs02_securityvalue_increase_securityvalue_missing_date,,dow s late afternoon surge into record territory powered by gol | SecurityValue.Increase_SecurityValue,SecurityValue,"($GS OR GS OR ""dow late afternoon"") (price OR rise OR shares OR stock)",en,,,Derived from SENTiVENT doc gs02 (sentences=9).
duk02_investment_missing_date,,duke energy doles out 11 m in water resources grants | Investment,Investment,"($DUK OR DUK OR ""duke energy doles"") (capex OR investment)",en,,,Derived from SENTiVENT doc duk02 (sentences=18).
duk05_product_service_cancellation_recall_missing_date,,duke energy says some customers may be affected by data breach | Product/Service.Cancellation/Recall,CSR/Brand,"($DUK OR DUK OR ""duke energy says"") (brand OR reputation)",en,,,Derived from SENTiVENT doc duk05 (sentences=12).
duk07_securityvalue_decrease_securityvalue_missing_date,,duke energy stock is at its most oversold level in 5 years | SecurityValue.Decrease_SecurityValue,SecurityValue,"($DUK OR DUK OR ""duke energy stock"") (down OR drop OR fall OR price)",en,,,Derived from SENTiVENT doc duk07 (sentences=21).
duk03_csr_brand_missing_date,,duke posts full qa from controversial online only shareholder m | CSR/Brand,CSR/Brand,"($DUK OR DUK OR ""duke posts full"") (brand OR reputation)",en,,,Derived from SENTiVENT doc duk03 (sentences=50).
goog11_securityvalue_increase_securityvalue_missing_date,,earnings preview what to expect from alphabet on thursday | SecurityValue.Increase_SecurityValue,SecurityValue,"($GOOG OR GOOG OR ""earnings preview what"") (price OR rise OR shares OR stock)",en,,,Derived from SENTiVENT doc goog11 (sentences=8).
dis05_facility_open_missing_date,,euro disney dis gains control plans to delist | Facility.Open,Merger/Acquisition,"($DIS OR DIS OR ""euro disney dis"") (acquisition OR buyout OR merger)",en,,,Derived from SENTiVENT doc dis05 (sentences=18).
fb01_product_service_launch_missing_date,,facebook inc s instagram wants to beat snapchat with executi | Product/Service.Launch,Macroeconomics,"($FB OR FB OR ""facebook inc instagram"") (announce OR economy OR launch OR market)",en,,,Derived from SENTiVENT doc fb01 (sentences=31).
fb09_product_service_launch_missing_date,,facebook pitches brand safety ahead of video ad push | Product/Service.Launch,CSR/Brand,"($FB OR FB OR ""facebook pitches brand"") (announce OR brand OR launch OR reputation)",en,,,Derived from SENTiVENT doc fb09 (sentences=34).
fb06_revenue_increase_revenue_missing_date,,facebook posts strong q2 as arpu grows across geographies | Revenue.Increase_Revenue,Revenue,"($FB OR FB OR ""facebook posts strong"") (revenue OR rise OR sales OR surge)",en,,,Derived from SENTiVENT doc fb06 (sentences=19).
fb13_profit_loss_increase_profit_loss_missing_date,,facebook s profit rises but users spend less time on network | Profit/Loss.Increase_Profit/Loss,CSR/Brand,"($FB OR FB OR ""facebook profit rises"") (brand OR reputation OR rise OR surge)",en,,,Derived from SENTiVENT doc fb13 (sentences=45).
fb14_securityvalue_decrease_securityvalue_missing_date,,facebook s wary dance with the beltway | SecurityValue.Decrease_SecurityValue,SecurityValue,"($FB OR FB OR ""facebook wary dance"") (down OR drop OR fall OR price)",en,,,Derived from SENTiVENT doc fb14 (sentences=11).
fb10_product_service_launch_missing_date,,facebook s workplace is gaining ground as it prepares to pounce | Product/Service.Launch,Product/Service,"($FB OR FB OR ""facebook workplace gaining"") (announce OR launch OR product OR trial)",en,,,Derived from SENTiVENT doc fb10 (sentences=13).
fb03_legal_conviction_settlement_missing_date,,facebook says controversial data sharing policy is indispensab | Legal.Conviction/Settlement,CSR/Brand,"($FB OR FB OR ""facebook says controversial"") (brand OR reputation)",en,,,Derived from SENTiVENT doc fb03 (sentences=16).
fb08_financialreport_beat_missing_date,,facebook stock offers 40 upside | FinancialReport.Beat,SecurityValue,"($FB OR FB OR ""facebook stock offers"") (above OR beat OR price OR shares)",en,,,Derived from SENTiVENT doc fb08 (sentences=21).
fb00_legal_conviction_settlement_missing_date,,facebook to be fined in eu probe over whatsapp takeover | Legal.Conviction/Settlement,Legal,"($FB OR FB OR ""facebook fined probe"") (court OR lawsuit OR settlement)",en,,,Derived from SENTiVENT doc fb00 (sentences=17).
fb12_employment_start_missing_date,,facebook to hire 800 new workers in london | Employment.Start,Employment,"($FB OR FB OR ""facebook hire workers"") (hiring OR layoffs OR workforce)",en,,,Derived from SENTiVENT doc fb12 (sentences=15).
fb07_product_service_launch_missing_date,,facebook turns to original tv content with new watch tab | Product/Service.Launch,Product/Service,"($FB OR FB OR ""facebook turns original"") (announce OR launch OR product OR trial)",en,,,Derived from SENTiVENT doc fb07 (sentences=18).
amzn13_securityvalue_increase_securityvalue_missing_date,,five reasons amazon can reach 1500 | SecurityValue.Increase_SecurityValue,Macroeconomics,"($AMZN OR AMZN OR ""five amazon can"") (economy OR market OR rise OR surge)",en,,,Derived from SENTiVENT doc amzn13 (sentences=17).
f02_salesvolume_increase_salesvolume_missing_date,,ford ekes out a sales gain on pickups and fleet deliveries | SalesVolume.Increase_SalesVolume,SalesVolume,"(""ford ekes out"") (demand OR rise OR sales OR surge)",en,,,Derived from SENTiVENT doc f02 (sentences=49).
f12_expense_increase_expense_missing_date,,ford increasing electric vehicle investment to 11 billion by 2 | Expense.Increase_Expense,Investment,"(""ford increasing electric"") (capex OR investment OR rise OR surge)",en,,,Derived from SENTiVENT doc f12 (sentences=19).
f15_salesvolume_increase_salesvolume_missing_date,,ford is at a crossroad of danger and opportunity in china | SalesVolume.Increase_SalesVolume,Macroeconomics,"(""ford crossroad danger"") (economy OR market OR rise OR surge)",en,,,Derived from SENTiVENT doc f15 (sentences=54).
f14_financialreport_miss_missing_date,,ford is the next ge and shorts should be salivating | FinancialReport.Miss,Macroeconomics,"(""ford next shorts"") (below OR economy OR market OR miss)",en,,,Derived from SENTiVENT doc f14 (sentences=35).
f13_product_service_launch_missing_date,,ford rolls out a hot rod suv as drivers abandon performance cars | Product/Service.Launch,Product/Service,"(""ford rolls out"") (announce OR launch OR product OR trial)",en,,,Derived from SENTiVENT doc f13 (sentences=39).
f11_product_service_launch_missing_date,,ford s china growth plan includes introduction of 50 new vehicl | Product/Service.Launch,Product/Service,"(""ford china growth"") (announce OR launch OR product OR trial)",en,,,Derived from SENTiVENT doc f11 (sentences=7).
f00_employment_end_missing_date,,ford to cut 1400 jobs as pressure grows on profits | Employment.End,Employment,"(""ford cut jobs"") (hiring OR layoffs OR workforce)",en,,,Derived from SENTiVENT doc f00 (sentences=21).
f04_facility_open_missing_date,,forget mexico ford moving focus production from us to china | Facility.Open,Product/Service,"(""forget mexico ford"") (launch OR product OR trial)",en,,,Derived from SENTiVENT doc f04 (sentences=20).
fox02_salesvolume_increase_salesvolume_missing_date,,fox msnbc neck and neck in ratings as viewers monitor trump | SalesVolume.Increase_SalesVolume,SalesVolume,"($FOX OR FOX OR ""fox msnbc neck"") (demand OR rise OR sales OR surge)",en,,,Derived from SENTiVENT doc fox02 (sentences=25).
fox01_employment_start_missing_date,,fox sports buys impression bolsters naming rights sales | Employment.Start,Merger/Acquisition,"($FOX OR FOX OR ""fox sports buys"") (acquisition OR buyout OR merger)",en,,,Derived from SENTiVENT doc fox01 (sentences=18).
fox04_product_service_launch_missing_date,,fox to sell 6 second ads | Product/Service.Launch,Product/Service,"($FOX OR FOX OR ""fox sell second"") (announce OR launch OR product OR trial)",en,,,Derived from SENTiVENT doc fox04 (sentences=11).
duk00_csr_brand_missing_date,,fuel savings and improved air quality highlight duke energy s t | CSR/Brand,CSR/Brand,"($DUK OR DUK OR ""fuel savings improved"") (brand OR reputation)",en,,,Derived from SENTiVENT doc duk00 (sentences=21).
ge01_securityvalue_decrease_securityvalue_missing_date,,ge drops after immelt predicts challenges to hit 2018 targets | SecurityValue.Decrease_SecurityValue,SecurityValue,"($GE OR GE OR ""drops immelt predicts"") (down OR drop OR fall OR price)",en,,,Derived from SENTiVENT doc ge01 (sentences=28).
ge13_expense_decrease_expense_missing_date,,ge is beating some headwinds but is it enough | Expense.Decrease_Expense,Macroeconomics,"($GE OR GE OR ""beating some headwinds"") (down OR drop OR economy OR fall)",en,,,Derived from SENTiVENT doc ge13 (sentences=48).
ge12_rating_credit_debt_missing_date,,ge s credit downgraded at fitch outlook remains negative | Rating.Credit/Debt,Rating,"($GE OR GE OR ""credit downgraded fitch"") (downgrade OR rating OR upgrade)",en,,,Derived from SENTiVENT doc ge12 (sentences=9).
ge09_profit_loss_increase_profit_loss_missing_date,,ge s expected q3 profit surge may be overshadowed by dividend f | Profit/Loss.Increase_Profit/Loss,Profit/Loss,"($GE OR GE OR ""expected profit surge"") (loss OR margin OR profit OR rise)",en,,,Derived from SENTiVENT doc ge09 (sentences=25).
ge11_securityvalue_increase_securityvalue_missing_date,,ge s stock bounces sharply to pace dow gainers | SecurityValue.Increase_SecurityValue,SecurityValue,"($GE OR GE OR ""stock bounces sharply"") (price OR rise OR shares OR stock)",en,,,Derived from SENTiVENT doc ge11 (sentences=9).
ge10_securityvalue_decrease_securityvalue_missing_date,,ge s stock tumbles toward second 6 session losing streak this m | SecurityValue.Decrease_SecurityValue,SecurityValue,"($GE OR GE OR ""stock tumbles toward"") (down OR drop OR fall OR price)",en,,,Derived from SENTiVENT doc ge10 (sentences=5).
ge06_securityvalue_decrease_securityvalue_missing_date,,ge stock breaks down to lower channel support | SecurityValue.Decrease_SecurityValue,SecurityValue,"($GE OR GE OR ""stock breaks lower"") (down OR drop OR fall OR price)",en,,,Derived from SENTiVENT doc ge06 (sentences=12).
ge04_employment_start_missing_date,,ge to replace jeff immelt with ge healthcare exec john flannery | Employment.Start,Employment,"($GE OR GE OR ""replace jeff immelt"") (hiring OR layoffs OR workforce)",en,,,Derived from SENTiVENT doc ge04 (sentences=14).
ge05_securityvalue_decrease_securityvalue_missing_date,,general electric can aviation make it fly | SecurityValue.Decrease_SecurityValue,Employment,"($GE OR GE OR ""general electric can"") (down OR drop OR fall OR hiring)",en,,,Derived from SENTiVENT doc ge05 (sentences=19).
gm03_salesvolume_decrease_salesvolume_missing_date,,general motors cadillac sales are booming in china | SalesVolume.Decrease_SalesVolume,SalesVolume,"($GM OR GM OR ""general motors cadillac"") (demand OR down OR drop OR fall)",en,,,Derived from SENTiVENT doc gm03 (sentences=47).
gm02_salesvolume_increase_salesvolume_missing_date,,general motors sales slip on rental fleet cutbacks | SalesVolume.Increase_SalesVolume,SalesVolume,"($GM OR GM OR ""general motors sales"") (demand OR rise OR sales OR surge)",en,,,Derived from SENTiVENT doc gm02 (sentences=53).
gm10_securityvalue_increase_securityvalue_missing_date,,general motors this ai nt the autobahn | SecurityValue.Increase_SecurityValue,Macroeconomics,"($GM OR GM OR ""general motors autobahn"") (economy OR market OR rise OR surge)",en,,,Derived from SENTiVENT doc gm10 (sentences=12).
gm06_product_service_launch_missing_date,,gm doubles down on diesel as 2018 equinox gets 39 mpg rating 5 | Product/Service.Launch,Product/Service,"($GM OR GM OR ""doubles diesel equinox"") (announce OR launch OR product OR trial)",en,,,Derived from SENTiVENT doc gm06 (sentences=47).
gm07_legal_conviction_settlement_missing_date,,gm s fairfax factory earns energy star certificate | Legal.Conviction/Settlement,CSR/Brand,"($GM OR GM OR ""fairfax factory earns"") (brand OR reputation)",en,,,Derived from SENTiVENT doc gm07 (sentences=18).
gm11_securityvalue_increase_securityvalue_missing_date,,gm s self driving cars will be impressive but not impressiv | SecurityValue.Increase_SecurityValue,Macroeconomics,"($GM OR GM OR ""self driving cars"") (economy OR market OR rise OR surge)",en,,,Derived from SENTiVENT doc gm11 (sentences=15).
gm05_employment_compensation_missing_date,,gm selling 3b in bonds related to pension problem | Employment.Compensation,Employment,"($GM OR GM OR ""selling bonds related"") (hiring OR layoffs OR workforce)",en,,,Derived from SENTiVENT doc gm05 (sentences=9).
gm04_facility_open_missing_date,,gm to add 850 new jobs in arlington via supplier park | Facility.Open,Facility,"($GM OR GM OR ""add jobs arlington"") (expansion OR facility OR plant)",en,,,Derived from SENTiVENT doc gm04 (sentences=28).
wmt06_rating_buyoutperform_missing_date,,goldman expects wal mart s fortunes to improve alongside the co | Rating.BuyOutperform,Macroeconomics,"($WMT OR WMT OR ""goldman expects wal"") (economy OR market)",en,,,Derived from SENTiVENT doc wmt06 (sentences=21).
gs00_product_service_launch_missing_date,,goldman flexes its lending muscles | Product/Service.Launch,Macroeconomics,"($GS OR GS OR ""goldman flexes lending"") (announce OR economy OR launch OR market)",en,,,Derived from SENTiVENT doc gs00 (sentences=14).
gs03_product_service_launch_missing_date,,goldman sachs continues retail banking push with higher savings | Product/Service.Launch,Product/Service,"($GS OR GS OR ""goldman sachs continues"") (announce OR launch OR product OR trial)",en,,,Derived from SENTiVENT doc gs03 (sentences=27).
gs04_product_service_launch_missing_date,,goldman sachs goes mr roboto on debt sales | Product/Service.Launch,Financing,"($GS OR GS OR ""goldman sachs goes"") (announce OR debt OR financing OR launch)",en,,,Derived from SENTiVENT doc gs04 (sentences=27).
gs01_dividend_payment_missing_date,,goldman sachs under fire for venezuela bond deal that critics sa | Dividend.Payment,Financing,"($GS OR GS OR ""goldman sachs fire"") (debt OR financing)",en,,,Derived from SENTiVENT doc gs01 (sentences=27).
goog09_legal_conviction_settlement_missing_date,,good news for google s legal fight with the eu | Legal.Conviction/Settlement,Legal,"($GOOG OR GOOG OR ""good news google"") (court OR lawsuit OR settlement)",en,,,Derived from SENTiVENT doc goog09 (sentences=30).
goog06_legal_proceeding_missing_date,,google age discrimination lawsuit nearly 300 people have signe | Legal.Proceeding,Legal,"($GOOG OR GOOG OR ""google age discrimination"") (court OR lawsuit OR settlement)",en,,,Derived from SENTiVENT doc goog06 (sentences=20).
goog08_legal_appeal_missing_date,,google begins biggest crackdown on extremist youtube videos | Legal.Appeal,CSR/Brand,"($GOOG OR GOOG OR ""google begins biggest"") (brand OR reputation)",en,,,Derived from SENTiVENT doc goog08 (sentences=26).
goog04_facility_open_missing_date,,google cloud platform arrives in sydney | Facility.Open,Facility,"($GOOG OR GOOG OR ""google cloud platform"") (expansion OR facility OR plant)",en,,,Derived from SENTiVENT doc goog04 (sentences=12).
goog02_legal_conviction_settlement_missing_date,,google execs hunker down for summer fight with eu as fines loom | Legal.Conviction/Settlement,Legal,"($GOOG OR GOOG OR ""google execs hunker"") (court OR lawsuit OR settlement)",en,,,Derived from SENTiVENT doc goog02 (sentences=47).
goog03_product_service_cancellation_recall_missing_date,,google leak reveals massive pixel 2 cancellation | Product/Service.Cancellation/Recall,Product/Service,"($GOOG OR GOOG OR ""google leak reveals"") (launch OR product OR trial)",en,,,Derived from SENTiVENT doc goog03 (sentences=23).
goog13_product_service_launch_missing_date,,google s china bid wo nt end well | Product/Service.Launch,Deal,"($GOOG OR GOOG OR ""google china bid"") (announce OR contract OR deal OR launch)",en,,,Derived from SENTiVENT doc goog13 (sentences=44).
goog00_product_service_launch_missing_date,,google thinks beyond ads at annual developer conference | Product/Service.Launch,Product/Service,"($GOOG OR GOOG OR ""google thinks beyond"") (announce OR launch OR product OR trial)",en,,,Derived from SENTiVENT doc goog00 (sentences=28).
cvx01_salesvolume_stable_salesvolume_missing_date,,has chevron s trading in refined products surged | SalesVolume.Stable_SalesVolume,FinancialReport,"($CVX OR CVX OR ""has chevron trading"") (earnings OR guidance OR results)",en,,,Derived from SENTiVENT doc cvx01 (sentences=6).
aapl01_securityvalue_increase_securityvalue_missing_date,,here are the six dow stocks experts say have the most upside | SecurityValue.Increase_SecurityValue,SecurityValue,"($AAPL OR AAPL OR ""here six dow"") (price OR rise OR shares OR stock)",en,,,Derived from SENTiVENT doc aapl01 (sentences=32).
aapl15_financialreport_beat_missing_date,,here s how apple gets to a 2 trillion market value | FinancialReport.Beat,FinancialReport,"($AAPL OR AAPL OR ""here apple gets"") (above OR beat OR earnings OR guidance)",en,,,Derived from SENTiVENT doc aapl15 (sentences=53).
wmt04_employment_start_missing_date,,here s why the best is yet to come for wal mart stores inc | Employment.Start,Macroeconomics,"($WMT OR WMT OR ""here best yet"") (economy OR market)",en,,,Derived from SENTiVENT doc wmt04 (sentences=30).
t05_macroeconomics_missing_date,,how att s acquisition of twx could provide targeted advertisin | Macroeconomics,Macroeconomics,"(""att acquisition twx"") (economy OR market)",en,,,Derived from SENTiVENT doc t05 (sentences=14).
fb11_profit_loss_increase_profit_loss_missing_date,,how facebook can monetize whatsapp | Profit/Loss.Increase_Profit/Loss,Macroeconomics,"($FB OR FB OR ""facebook can monetize"") (economy OR market OR rise OR surge)",en,,,Derived from SENTiVENT doc fb11 (sentences=24).
f08_salesvolume_decrease_salesvolume_missing_date,,how ford s sales in china disappointed in august | SalesVolume.Decrease_SalesVolume,SalesVolume,"(""ford sales china"") (demand OR down OR drop OR fall)",en,,,Derived from SENTiVENT doc f08 (sentences=14).
f01_employment_start_missing_date,,how hackett will manage ford as he tries to steer the automaker | Employment.Start,Employment,"(""hackett will manage"") (hiring OR layoffs OR workforce)",en,,,Derived from SENTiVENT doc f01 (sentences=27).
cvx07_dividend_yieldraise_missing_date,,how safe is chevrons dividend | Dividend.YieldRaise,Dividend,"($CVX OR CVX OR ""safe chevrons dividend"") (dividend OR payout)",en,,,Derived from SENTiVENT doc cvx07 (sentences=24).
nflx03_dividend_yieldstable_missing_date,,how wall street analysts view netflix | Dividend.YieldStable,Macroeconomics,"($NFLX OR NFLX OR ""wall street analysts"") (economy OR market)",en,,,Derived from SENTiVENT doc nflx03 (sentences=13).
amd00_product_service_launch_missing_date,,how well has amd delivered on their 2015 financial analyst day p | Product/Service.Launch,Product/Service,"($AMD OR AMD OR ""well has amd"") (announce OR launch OR product OR trial)",en,,,Derived from SENTiVENT doc amd00 (sentences=57).
celg01_product_service_cancellation_recall_missing_date,,i still ca nt believe juno therapeutics spent 464 million on | Product/Service.Cancellation/Recall,Product/Service,"($CELG OR CELG OR ""still believe juno"") (launch OR product OR trial)",en,,,Derived from SENTiVENT doc celg01 (sentences=21).
nem01_financialreport_miss_missing_date,,inside barrick gold s production growth | FinancialReport.Miss,Product/Service,"($NEM OR NEM OR ""inside barrick gold"") (below OR launch OR miss OR product)",en,,,Derived from SENTiVENT doc nem01 (sentences=22).
gm12_product_service_launch_missing_date,,investors impressed by general motors self driving car but m | Product/Service.Launch,Product/Service,"($GM OR GM OR ""investors impressed general"") (announce OR launch OR product OR trial)",en,,,Derived from SENTiVENT doc gm12 (sentences=45).
aapl14_salesvolume_increase_salesvolume_missing_date,,iphone x s dangerous choice of market share or profit | SalesVolume.Increase_SalesVolume,Macroeconomics,"($AAPL OR AAPL OR ""iphone dangerous choice"") (economy OR market OR rise OR surge)",en,,,Derived from SENTiVENT doc aapl14 (sentences=15).
ba04_legal_proceeding_missing_date,,iran confident about 3 billion boeing deal as us mulls sanct | Legal.Proceeding,Deal,"($BA OR BA OR ""iran confident about"") (contract OR deal)",en,,,Derived from SENTiVENT doc ba04 (sentences=22).
amzn12_securityvalue_increase_securityvalue_missing_date,,is amazon getting into the pharmacy business this is what you | SecurityValue.Increase_SecurityValue,Macroeconomics,"($AMZN OR AMZN OR ""amazon getting pharmacy"") (economy OR market OR rise OR surge)",en,,,Derived from SENTiVENT doc amzn12 (sentences=41).
f06_expense_increase_expense_missing_date,,is ford s profit | Expense.Increase_Expense,Profit/Loss,"(""ford profit"") (loss OR margin OR profit OR rise)",en,,,Derived from SENTiVENT doc f06 (sentences=38).
gm01_expense_decrease_expense_missing_date,,is gm abandoning its future for short term profits | Expense.Decrease_Expense,Macroeconomics,"($GM OR GM OR ""abandoning future short"") (down OR drop OR economy OR fall)",en,,,Derived from SENTiVENT doc gm01 (sentences=48).
fb05_revenue_increase_revenue_missing_date,,is the market undervaluing facebook stock | Revenue.Increase_Revenue,Revenue,"($FB OR FB OR ""market undervaluing facebook"") (revenue OR rise OR sales OR surge)",en,,,Derived from SENTiVENT doc fb05 (sentences=35).
abbv04_product_service_launch_missing_date,,is this dividend aristocrat ridiculously undervalued | Product/Service.Launch,Product/Service,"($ABBV OR ABBV OR ""dividend aristocrat ridiculously"") (announce OR launch OR product OR trial)",en,,,Derived from SENTiVENT doc abbv04 (sentences=33).
amzn01_securityvalue_increase_securityvalue_missing_date,,jeff bezos fortune continues to soar as amazon stock reaches n | SecurityValue.Increase_SecurityValue,SecurityValue,"($AMZN OR AMZN OR ""jeff bezos fortune"") (price OR rise OR shares OR stock)",en,,,Derived from SENTiVENT doc amzn01 (sentences=23).
jnj02_product_service_launch_missing_date,,jj drug prevents heart attacks at cost of amputated toes | Product/Service.Launch,Product/Service,"($JNJ OR JNJ OR ""drug prevents heart"") (announce OR launch OR product OR trial)",en,,,Derived from SENTiVENT doc jnj02 (sentences=18).
jnj01_product_service_trial_missing_date,,jj s zytiga boosts survival in new severe prostate cancers | Product/Service.Trial,Product/Service,"($JNJ OR JNJ OR ""zytiga boosts survival"") (launch OR product OR study OR trial)",en,,,Derived from SENTiVENT doc jnj01 (sentences=22).
jnj04_financialreport_beat_missing_date,,johnson johnson earnings when strong is nt strong enough | FinancialReport.Beat,FinancialReport,"($JNJ OR JNJ OR ""johnson johnson earnings"") (above OR beat OR earnings OR guidance)",en,,,Derived from SENTiVENT doc jnj04 (sentences=19).
jnj00_product_service_trial_missing_date,,johnson johnson plans to file for approval 10 potential blockb | Product/Service.Trial,Product/Service,"($JNJ OR JNJ OR ""johnson johnson plans"") (launch OR product OR study OR trial)",en,,,Derived from SENTiVENT doc jnj00 (sentences=6).
jnj03_product_service_trial_missing_date,,johnson johnson s type 2 diabetes drug is stellar in cardiova | Product/Service.Trial,Macroeconomics,"($JNJ OR JNJ OR ""johnson johnson type"") (economy OR market OR study OR trial)",en,,,Derived from SENTiVENT doc jnj03 (sentences=35).
nflx14_salesvolume_increase_salesvolume_missing_date,,just ca nt get enough netflix subscriptions could grow despit | SalesVolume.Increase_SalesVolume,Product/Service,"($NFLX OR NFLX OR ""just get enough"") (launch OR product OR rise OR surge)",en,,,Derived from SENTiVENT doc nflx14 (sentences=11).
kmi00_securityvalue_decrease_securityvalue_missing_date,,kinder morgan s canada ipo faces a challenge | SecurityValue.Decrease_SecurityValue,SecurityValue,"($KMI OR KMI OR ""kinder morgan canada"") (down OR drop OR fall OR price)",en,,,Derived from SENTiVENT doc kmi00 (sentences=22).
kmi03_facility_open_missing_date,,kmi launches canada ipo amid political uncertainty in bc | Facility.Open,Financing,"($KMI OR KMI OR ""kmi launches canada"") (debt OR financing)",en,,,Derived from SENTiVENT doc kmi03 (sentences=16).
duk06_rating_buyoutperform_missing_date,,like many of its peers duk is trading in the oversold zone | Rating.BuyOutperform,SecurityValue,"($DUK OR DUK OR ""like many peers"") (price OR shares OR stock)",en,,,Derived from SENTiVENT doc duk06 (sentences=10).
f05_employment_start_missing_date,,lucid motors is mulling sale after takeover talks with ford | Employment.Start,Product/Service,"(""lucid motors mulling"") (launch OR product OR trial)",en,,,Derived from SENTiVENT doc f05 (sentences=30).
fb04_csr_brand_missing_date,,mark zuckerberg just sold 425 million of facebook stock | CSR/Brand,CSR/Brand,"($FB OR FB OR ""mark zuckerberg just"") (brand OR reputation)",en,,,Derived from SENTiVENT doc fb04 (sentences=12).
f03_salesvolume_increase_salesvolume_missing_date,,may auto sales results reveal a new leader among detroit three | SalesVolume.Increase_SalesVolume,SalesVolume,"(""may auto sales"") (demand OR rise OR sales OR surge)",en,,,Derived from SENTiVENT doc f03 (sentences=42).
msft02_facility_open_missing_date,,microsoft corp expanding its sa footprint with 50m new constr | Facility.Open,Facility,"($MSFT OR MSFT OR ""microsoft corp expanding"") (expansion OR facility OR plant)",en,,,Derived from SENTiVENT doc msft02 (sentences=17).
msft01_product_service_launch_missing_date,,microsoft revamped skype to look like snapchat | Product/Service.Launch,Product/Service,"($MSFT OR MSFT OR ""microsoft revamped skype"") (announce OR launch OR product OR trial)",en,,,Derived from SENTiVENT doc msft01 (sentences=10).
msft03_product_service_launch_missing_date,,microsoft surprises nobody with xbox one x price | Product/Service.Launch,Product/Service,"($MSFT OR MSFT OR ""microsoft surprises nobody"") (announce OR launch OR product OR trial)",en,,,Derived from SENTiVENT doc msft03 (sentences=18).
msft04_product_service_launch_missing_date,,microsoft ventures a look at redmond s latest 13 investments | Product/Service.Launch,Product/Service,"($MSFT OR MSFT OR ""microsoft ventures redmond"") (announce OR launch OR product OR trial)",en,,,Derived from SENTiVENT doc msft04 (sentences=21).
nflx02_product_service_cancellation_recall_missing_date,,netflix can break hearts too | Product/Service.Cancellation/Recall,Product/Service,"($NFLX OR NFLX OR ""netflix can break"") (launch OR product OR trial)",en,,,Derived from SENTiVENT doc nflx02 (sentences=31).
nflx13_product_service_cancellation_recall_missing_date,,netflix cuts ties with kevin spacey | Product/Service.Cancellation/Recall,Product/Service,"($NFLX OR NFLX OR ""netflix cuts ties"") (launch OR product OR trial)",en,,,Derived from SENTiVENT doc nflx13 (sentences=9).
nflx00_salesvolume_increase_salesvolume_missing_date,,netflix headed to 90 million users | SalesVolume.Increase_SalesVolume,SalesVolume,"($NFLX OR NFLX OR ""netflix headed million"") (demand OR rise OR sales OR surge)",en,,,Derived from SENTiVENT doc nflx00 (sentences=24).
nflx12_securityvalue_increase_securityvalue_missing_date,,netflix raising 16 billion in bond market to fuel content acq | SecurityValue.Increase_SecurityValue,Financing,"($NFLX OR NFLX OR ""netflix raising billion"") (debt OR financing OR rise OR surge)",en,,,Derived from SENTiVENT doc nflx12 (sentences=7).
nflx01_revenue_increase_revenue_missing_date,,netflix s stock is worth only about one third of where it trade | Revenue.Increase_Revenue,Revenue,"($NFLX OR NFLX OR ""netflix stock worth"") (revenue OR rise OR sales OR surge)",en,,,Derived from SENTiVENT doc nflx01 (sentences=48).
nflx11_salesvolume_increase_salesvolume_missing_date,,netflix stock seesaws after third quarter subscriber beat | SalesVolume.Increase_SalesVolume,SalesVolume,"($NFLX OR NFLX OR ""netflix stock seesaws"") (demand OR rise OR sales OR surge)",en,,,Derived from SENTiVENT doc nflx11 (sentences=41).
abbv02_salesvolume_decrease_salesvolume_missing_date,,neupogen and enbrel could see falling revenues in 2017 | SalesVolume.Decrease_SalesVolume,SalesVolume,"($ABBV OR ABBV OR ""neupogen enbrel could"") (demand OR down OR drop OR fall)",en,,,Derived from SENTiVENT doc abbv02 (sentences=20).
wfc01_legal_conviction_settlement_missing_date,,new york city bars wells fargo from banking work after scandals | Legal.Conviction/Settlement,Legal,"($WFC OR WFC OR ""york city bars"") (court OR lawsuit OR settlement)",en,,,Derived from SENTiVENT doc wfc01 (sentences=20).
nem05_profit_loss_increase_profit_loss_missing_date,,newmont barrick race for top gold crown comes down to a decimal | Profit/Loss.Increase_Profit/Loss,Macroeconomics,"($NEM OR NEM OR ""newmont barrick race"") (economy OR market OR rise OR surge)",en,,,Derived from SENTiVENT doc nem05 (sentences=13).
nem06_securityvalue_increase_securityvalue_missing_date,,newmont mining is investors gold stock to buy | SecurityValue.Increase_SecurityValue,SecurityValue,"($NEM OR NEM OR ""newmont mining investors"") (price OR rise OR shares OR stock)",en,,,Derived from SENTiVENT doc nem06 (sentences=18).
nem02_rating_buyoutperform_missing_date,,newmont mining ready to shine | Rating.BuyOutperform,Rating,"($NEM OR NEM OR ""newmont mining ready"") (downgrade OR rating OR upgrade)",en,,,Derived from SENTiVENT doc nem02 (sentences=13).
