event,event_label,event_date,status,selected_source,selected_title,selected_url,selected_ranking_score,candidate_count,search_endpoint,query_used,unique_threads
amd12_product_service_launch_missing_date,2 risks amd investors should nt ignore | Product/Service.Launch,,collected,x,,,,43,search/all,"""2 risks amd investors should nt ignore"" OR ""Product/Service.Launch"" -is:retweet lang:en",43
dis05_facility_open_missing_date,euro disney dis gains control plans to delist | Facility.Open,,collected,x,,,,50,search/all,"""euro disney dis gains control plans to delist"" OR ""Facility.Open"" -is:retweet lang:en",50
fb01_product_service_launch_missing_date,facebook inc s instagram wants to beat snapchat with executi | Product/Service.Launch,,collected,x,,,,50,search/all,"""facebook inc s instagram wants to beat snapchat"" OR ""Product/Service.Launch"" -is:retweet lang:en",50
fb09_product_service_launch_missing_date,facebook pitches brand safety ahead of video ad push | Product/Service.Launch,,collected,x,,,,50,search/all,"""facebook pitches brand safety ahead of video ad"" OR ""Product/Service.Launch"" -is:retweet lang:en",50
fb06_revenue_increase_revenue_missing_date,facebook posts strong q2 as arpu grows across geographies | Revenue.Increase_Revenue,,collected,x,,,,22,search/all,"""facebook posts strong q2 as arpu grows across"" OR ""Revenue.Increase Revenue"" -is:retweet lang:en",22
fb13_profit_loss_increase_profit_loss_missing_date,facebook s profit rises but users spend less time on network | Profit/Loss.Increase_Profit/Loss,,no_results,x,,,,0,search/all,"""facebook s profit rises but users spend less"" OR ""Profit/Loss.Increase Profit/Loss"" -is:retweet lang:en",0
fb14_securityvalue_decrease_securityvalue_missing_date,facebook s wary dance with the beltway | SecurityValue.Decrease_SecurityValue,,collected,x,,,,12,search/all,"""facebook s wary dance with the beltway"" OR ""SecurityValue.Decrease SecurityValue"" -is:retweet lang:en",12
fb10_product_service_launch_missing_date,facebook s workplace is gaining ground as it prepares to pounce | Product/Service.Launch,,collected,x,,,,45,search/all,"""facebook s workplace is gaining ground as it"" OR ""Product/Service.Launch"" -is:retweet lang:en",45
fb03_legal_conviction_settlement_missing_date,facebook says controversial data sharing policy is indispensab | Legal.Conviction/Settlement,,no_results,x,,,,0,search/all,"""facebook says controversial data sharing policy is indispensab"" OR ""Legal.Conviction/Settlement"" -is:retweet lang:en",0
fb08_financialreport_beat_missing_date,facebook stock offers 40 upside | FinancialReport.Beat,,no_results,x,,,,0,search/all,"""facebook stock offers 40 upside"" OR ""FinancialReport.Beat"" -is:retweet lang:en",0
fb00_legal_conviction_settlement_missing_date,facebook to be fined in eu probe over whatsapp takeover | Legal.Conviction/Settlement,,no_results,x,,,,0,search/all,"""facebook to be fined in eu probe over"" OR ""Legal.Conviction/Settlement"" -is:retweet lang:en",0
fb12_employment_start_missing_date,facebook to hire 800 new workers in london | Employment.Start,,collected,x,,,,50,search/all,"""facebook to hire 800 new workers in london"" OR ""Employment.Start"" -is:retweet lang:en",50
fb07_product_service_launch_missing_date,facebook turns to original tv content with new watch tab | Product/Service.Launch,,collected,x,,,,35,search/all,"""facebook turns to original tv content with new"" OR ""Product/Service.Launch"" -is:retweet lang:en",35
amzn13_securityvalue_increase_securityvalue_missing_date,five reasons amazon can reach 1500 | SecurityValue.Increase_SecurityValue,,no_results,x,,,,0,search/all,"""five reasons amazon can reach 1500"" OR ""SecurityValue.Increase SecurityValue"" -is:retweet lang:en",0
f02_salesvolume_increase_salesvolume_missing_date,ford ekes out a sales gain on pickups and fleet deliveries | SalesVolume.Increase_SalesVolume,,collected,x,,,,8,search/all,"""ford ekes out a sales gain on pickups"" OR ""SalesVolume.Increase SalesVolume"" -is:retweet lang:en",8
f12_expense_increase_expense_missing_date,ford increasing electric vehicle investment to 11 billion by 2 | Expense.Increase_Expense,,collected,x,,,,1,search/all,"""ford increasing electric vehicle investment to 11 billion"" OR ""Expense.Increase Expense"" -is:retweet lang:en",1
f15_salesvolume_increase_salesvolume_missing_date,ford is at a crossroad of danger and opportunity in china | SalesVolume.Increase_SalesVolume,,collected,x,,,,11,search/all,"""ford is at a crossroad of danger and"" OR ""SalesVolume.Increase SalesVolume"" -is:retweet lang:en",11
f14_financialreport_miss_missing_date,ford is the next ge and shorts should be salivating | FinancialReport.Miss,,collected,x,,,,14,search/all,"""ford is the next ge and shorts should"" OR ""FinancialReport.Miss"" -is:retweet lang:en",14
f13_product_service_launch_missing_date,ford rolls out a hot rod suv as drivers abandon performance cars | Product/Service.Launch,,collected,x,,,,50,search/all,"""ford rolls out a hot rod suv as"" OR ""Product/Service.Launch"" -is:retweet lang:en",50
f11_product_service_launch_missing_date,ford s china growth plan includes introduction of 50 new vehicl | Product/Service.Launch,,collected,x,,,,50,search/all,"""ford s china growth plan includes introduction of"" OR ""Product/Service.Launch"" -is:retweet lang:en",50
f00_employment_end_missing_date,ford to cut 1400 jobs as pressure grows on profits | Employment.End,,collected,x,,,,50,search/all,"""ford to cut 1400 jobs as pressure grows"" OR ""Employment.End"" -is:retweet lang:en",50
f04_facility_open_missing_date,forget mexico ford moving focus production from us to china | Facility.Open,,collected,x,,,,50,search/all,"""forget mexico ford moving focus production from us"" OR ""Facility.Open"" -is:retweet lang:en",50
fox02_salesvolume_increase_salesvolume_missing_date,fox msnbc neck and neck in ratings as viewers monitor trump | SalesVolume.Increase_SalesVolume,,collected,x,,,,25,search/all,"""fox msnbc neck and neck in ratings as"" OR ""SalesVolume.Increase SalesVolume"" -is:retweet lang:en",25
fox01_employment_start_missing_date,fox sports buys impression bolsters naming rights sales | Employment.Start,,collected,x,,,,50,search/all,"""fox sports buys impression bolsters naming rights sales"" OR ""Employment.Start"" -is:retweet lang:en",50
fox04_product_service_launch_missing_date,fox to sell 6 second ads | Product/Service.Launch,,collected,x,,,,46,search/all,"""fox to sell 6 second ads"" OR ""Product/Service.Launch"" -is:retweet lang:en",46
duk00_csr_brand_missing_date,fuel savings and improved air quality highlight duke energy s t | CSR/Brand,,collected,x,,,,46,search/all,"""fuel savings and improved air quality highlight duke"" OR ""CSR/Brand"" -is:retweet lang:en",46
ge01_securityvalue_decrease_securityvalue_missing_date,ge drops after immelt predicts challenges to hit 2018 targets | SecurityValue.Decrease_SecurityValue,,collected,x,,,,1,search/all,"""ge drops after immelt predicts challenges to hit"" OR ""SecurityValue.Decrease SecurityValue"" -is:retweet lang:en",1
ge13_expense_decrease_expense_missing_date,ge is beating some headwinds but is it enough | Expense.Decrease_Expense,,collected,x,,,,27,search/all,"""ge is beating some headwinds but is it"" OR ""Expense.Decrease Expense"" -is:retweet lang:en",27
ge12_rating_credit_debt_missing_date,ge s credit downgraded at fitch outlook remains negative | Rating.Credit/Debt,,collected,x,,,,5,search/all,"""ge s credit downgraded at fitch outlook remains"" OR ""Rating.Credit/Debt"" -is:retweet lang:en",2
ge09_profit_loss_increase_profit_loss_missing_date,ge s expected q3 profit surge may be overshadowed by dividend f | Profit/Loss.Increase_Profit/Loss,,no_results,x,,,,0,search/all,"""ge s expected q3 profit surge may be"" OR ""Profit/Loss.Increase Profit/Loss"" -is:retweet lang:en",0
ge11_securityvalue_increase_securityvalue_missing_date,ge s stock bounces sharply to pace dow gainers | SecurityValue.Increase_SecurityValue,,collected,x,,,,8,search/all,"""ge s stock bounces sharply to pace dow"" OR ""SecurityValue.Increase SecurityValue"" -is:retweet lang:en",8
ge10_securityvalue_decrease_securityvalue_missing_date,ge s stock tumbles toward second 6 session losing streak this m | SecurityValue.Decrease_SecurityValue,,collected,x,,,,10,search/all,"""ge s stock tumbles toward second 6 session"" OR ""SecurityValue.Decrease SecurityValue"" -is:retweet lang:en",10
ge06_securityvalue_decrease_securityvalue_missing_date,ge stock breaks down to lower channel support | SecurityValue.Decrease_SecurityValue,,no_results,x,,,,0,search/all,"""ge stock breaks down to lower channel support"" OR ""SecurityValue.Decrease SecurityValue"" -is:retweet lang:en",0
ge04_employment_start_missing_date,ge to replace jeff immelt with ge healthcare exec john flannery | Employment.Start,,collected,x,,,,50,search/all,"""ge to replace jeff immelt with ge healthcare"" OR ""Employment.Start"" -is:retweet lang:en",50
ge05_securityvalue_decrease_securityvalue_missing_date,general electric can aviation make it fly | SecurityValue.Decrease_SecurityValue,,collected,x,,,,17,search/all,"""general electric can aviation make it fly"" OR ""SecurityValue.Decrease SecurityValue"" -is:retweet lang:en",17
gm03_salesvolume_decrease_salesvolume_missing_date,general motors cadillac sales are booming in china | SalesVolume.Decrease_SalesVolume,,collected,x,,,,12,search/all,"""general motors cadillac sales are booming in china"" OR ""SalesVolume.Decrease SalesVolume"" -is:retweet lang:en",12
gm02_salesvolume_increase_salesvolume_missing_date,general motors sales slip on rental fleet cutbacks | SalesVolume.Increase_SalesVolume,,collected,x,,,,8,search/all,"""general motors sales slip on rental fleet cutbacks"" OR ""SalesVolume.Increase SalesVolume"" -is:retweet lang:en",8
gm10_securityvalue_increase_securityvalue_missing_date,general motors this ai nt the autobahn | SecurityValue.Increase_SecurityValue,,no_results,x,,,,0,search/all,"""general motors this ai nt the autobahn"" OR ""SecurityValue.Increase SecurityValue"" -is:retweet lang:en",0
gm06_product_service_launch_missing_date,gm doubles down on diesel as 2018 equinox gets 39 mpg rating 5 | Product/Service.Launch,,collected,x,,,,50,search/all,"""gm doubles down on diesel as 2018 equinox"" OR ""Product/Service.Launch"" -is:retweet lang:en",50
gm07_legal_conviction_settlement_missing_date,gm s fairfax factory earns energy star certificate | Legal.Conviction/Settlement,,no_results,x,,,,0,search/all,"""gm s fairfax factory earns energy star certificate"" OR ""Legal.Conviction/Settlement"" -is:retweet lang:en",0
gm11_securityvalue_increase_securityvalue_missing_date,gm s self driving cars will be impressive but not impressiv | SecurityValue.Increase_SecurityValue,,no_results,x,,,,0,search/all,"""gm s self driving cars will be impressive"" OR ""SecurityValue.Increase SecurityValue"" -is:retweet lang:en",0
gm05_employment_compensation_missing_date,gm selling 3b in bonds related to pension problem | Employment.Compensation,,collected,x,,,,50,search/all,"""gm selling 3b in bonds related to pension"" OR ""Employment.Compensation"" -is:retweet lang:en",48
gm04_facility_open_missing_date,gm to add 850 new jobs in arlington via supplier park | Facility.Open,,collected,x,,,,50,search/all,"""gm to add 850 new jobs in arlington"" OR ""Facility.Open"" -is:retweet lang:en",50
wmt06_rating_buyoutperform_missing_date,goldman expects wal mart s fortunes to improve alongside the co | Rating.BuyOutperform,,no_results,x,,,,0,search/all,"""goldman expects wal mart s fortunes to improve"" OR ""Rating.BuyOutperform"" -is:retweet lang:en",0
gs00_product_service_launch_missing_date,goldman flexes its lending muscles | Product/Service.Launch,,collected,x,,,,50,search/all,"""goldman flexes its lending muscles"" OR ""Product/Service.Launch"" -is:retweet lang:en",50
gs03_product_service_launch_missing_date,goldman sachs continues retail banking push with higher savings | Product/Service.Launch,,collected,x,,,,50,search/all,"""goldman sachs continues retail banking push with higher"" OR ""Product/Service.Launch"" -is:retweet lang:en",50
gs04_product_service_launch_missing_date,goldman sachs goes mr roboto on debt sales | Product/Service.Launch,,collected,x,,,,50,search/all,"""goldman sachs goes mr roboto on debt sales"" OR ""Product/Service.Launch"" -is:retweet lang:en",50
gs01_dividend_payment_missing_date,goldman sachs under fire for venezuela bond deal that critics sa | Dividend.Payment,,collected,x,,,,50,search/all,"""goldman sachs under fire for venezuela bond deal"" OR ""Dividend.Payment"" -is:retweet lang:en",48
goog09_legal_conviction_settlement_missing_date,good news for google s legal fight with the eu | Legal.Conviction/Settlement,,no_results,x,,,,0,search/all,"""good news for google s legal fight with"" OR ""Legal.Conviction/Settlement"" -is:retweet lang:en",0
goog06_legal_proceeding_missing_date,google age discrimination lawsuit nearly 300 people have signe | Legal.Proceeding,,collected,x,,,,50,search/all,"""google age discrimination lawsuit nearly 300 people have"" OR ""Legal.Proceeding"" -is:retweet lang:en",46
goog08_legal_appeal_missing_date,google begins biggest crackdown on extremist youtube videos | Legal.Appeal,,collected,x,,,,50,search/all,"""google begins biggest crackdown on extremist youtube videos"" OR ""Legal.Appeal"" -is:retweet lang:en",46
goog04_facility_open_missing_date,google cloud platform arrives in sydney | Facility.Open,,collected,x,,,,50,search/all,"""google cloud platform arrives in sydney"" OR ""Facility.Open"" -is:retweet lang:en",50
goog02_legal_conviction_settlement_missing_date,google execs hunker down for summer fight with eu as fines loom | Legal.Conviction/Settlement,,collected,x,,,,50,search/all,"""google execs hunker down for summer fight with"" OR ""Legal.Conviction/Settlement"" -is:retweet lang:en",50
goog03_product_service_cancellation_recall_missing_date,google leak reveals massive pixel 2 cancellation | Product/Service.Cancellation/Recall,,collected,x,,,,50,search/all,"""google leak reveals massive pixel 2 cancellation"" OR ""Product/Service.Cancellation/Recall"" -is:retweet lang:en",50
goog13_product_service_launch_missing_date,google s china bid wo nt end well | Product/Service.Launch,,collected,x,,,,42,search/all,"""google s china bid wo nt end well"" OR ""Product/Service.Launch"" -is:retweet lang:en",42
goog00_product_service_launch_missing_date,google thinks beyond ads at annual developer conference | Product/Service.Launch,,collected,x,,,,50,search/all,"""google thinks beyond ads at annual developer conference"" OR ""Product/Service.Launch"" -is:retweet lang:en",50
cvx01_salesvolume_stable_salesvolume_missing_date,has chevron s trading in refined products surged | SalesVolume.Stable_SalesVolume,,no_results,x,,,,0,search/all,"""has chevron s trading in refined products surged"" OR ""SalesVolume.Stable SalesVolume"" -is:retweet lang:en",0
aapl01_securityvalue_increase_securityvalue_missing_date,here are the six dow stocks experts say have the most upside | SecurityValue.Increase_SecurityValue,,collected,x,,,,13,search/all,"""here are the six dow stocks experts say"" OR ""SecurityValue.Increase SecurityValue"" -is:retweet lang:en",13
aapl15_financialreport_beat_missing_date,here s how apple gets to a 2 trillion market value | FinancialReport.Beat,,no_results,x,,,,0,search/all,"""here s how apple gets to a 2"" OR ""FinancialReport.Beat"" -is:retweet lang:en",0
wmt04_employment_start_missing_date,here s why the best is yet to come for wal mart stores inc | Employment.Start,,collected,x,,,,50,search/all,"""here s why the best is yet to"" OR ""Employment.Start"" -is:retweet lang:en",50
t05_macroeconomics_missing_date,how att s acquisition of twx could provide targeted advertisin | Macroeconomics,,collected,x,,,,50,search/all,"""how att s acquisition of twx could provide"" OR ""Macroeconomics"" -is:retweet lang:en",48
fb11_profit_loss_increase_profit_loss_missing_date,how facebook can monetize whatsapp | Profit/Loss.Increase_Profit/Loss,,no_results,x,,,,0,search/all,"""how facebook can monetize whatsapp"" OR ""Profit/Loss.Increase Profit/Loss"" -is:retweet lang:en",0
f08_salesvolume_decrease_salesvolume_missing_date,how ford s sales in china disappointed in august | SalesVolume.Decrease_SalesVolume,,no_results,x,,,,0,search/all,"""how ford s sales in china disappointed in"" OR ""SalesVolume.Decrease SalesVolume"" -is:retweet lang:en",0
f01_employment_start_missing_date,how hackett will manage ford as he tries to steer the automaker | Employment.Start,,collected,x,,,,50,search/all,"""how hackett will manage ford as he tries"" OR ""Employment.Start"" -is:retweet lang:en",50
cvx07_dividend_yieldraise_missing_date,how safe is chevrons dividend | Dividend.YieldRaise,,collected,x,,,,1,search/all,"""how safe is chevrons dividend"" OR ""Dividend.YieldRaise"" -is:retweet lang:en",1
nflx03_dividend_yieldstable_missing_date,how wall street analysts view netflix | Dividend.YieldStable,,no_results,x,,,,0,search/all,"""how wall street analysts view netflix"" OR ""Dividend.YieldStable"" -is:retweet lang:en",0
amd00_product_service_launch_missing_date,how well has amd delivered on their 2015 financial analyst day p | Product/Service.Launch,,collected,x,,,,50,search/all,"""how well has amd delivered on their 2015"" OR ""Product/Service.Launch"" -is:retweet lang:en",50
celg01_product_service_cancellation_recall_missing_date,i still ca nt believe juno therapeutics spent 464 million on | Product/Service.Cancellation/Recall,,no_results,x,,,,0,search/all,"""i still ca nt believe juno therapeutics spent"" OR ""Product/Service.Cancellation/Recall"" -is:retweet lang:en",0
nem01_financialreport_miss_missing_date,inside barrick gold s production growth | FinancialReport.Miss,,no_results,x,,,,0,search/all,"""inside barrick gold s production growth"" OR ""FinancialReport.Miss"" -is:retweet lang:en",0
gm12_product_service_launch_missing_date,investors impressed by general motors self driving car but m | Product/Service.Launch,,collected,x,,,,50,search/all,"""investors impressed by general motors self driving car"" OR ""Product/Service.Launch"" -is:retweet lang:en",50
aapl14_salesvolume_increase_salesvolume_missing_date,iphone x s dangerous choice of market share or profit | SalesVolume.Increase_SalesVolume,,no_results,x,,,,0,search/all,"""iphone x s dangerous choice of market share"" OR ""SalesVolume.Increase SalesVolume"" -is:retweet lang:en",0
ba04_legal_proceeding_missing_date,iran confident about 3 billion boeing deal as us mulls sanct | Legal.Proceeding,,collected,x,,,,50,search/all,"""iran confident about 3 billion boeing deal as"" OR ""Legal.Proceeding"" -is:retweet lang:en",46
amzn12_securityvalue_increase_securityvalue_missing_date,is amazon getting into the pharmacy business this is what you | SecurityValue.Increase_SecurityValue,,no_results,x,,,,0,search/all,"""is amazon getting into the pharmacy business this"" OR ""SecurityValue.Increase SecurityValue"" -is:retweet lang:en",0
f06_expense_increase_expense_missing_date,is ford s profit | Expense.Increase_Expense,,collected,x,,,,2,search/all,"""is ford s profit"" OR ""Expense.Increase Expense"" -is:retweet lang:en",2
gm01_expense_decrease_expense_missing_date,is gm abandoning its future for short term profits | Expense.Decrease_Expense,,no_results,x,,,,0,search/all,"""is gm abandoning its future for short term"" OR ""Expense.Decrease Expense"" -is:retweet lang:en",0
fb05_revenue_increase_revenue_missing_date,is the market undervaluing facebook stock | Revenue.Increase_Revenue,,collected,x,,,,26,search/all,"""is the market undervaluing facebook stock"" OR ""Revenue.Increase Revenue"" -is:retweet lang:en",26
abbv04_product_service_launch_missing_date,is this dividend aristocrat ridiculously undervalued | Product/Service.Launch,,collected,x,,,,50,search/all,"""is this dividend aristocrat ridiculously undervalued"" OR ""Product/Service.Launch"" -is:retweet lang:en",50
amzn01_securityvalue_increase_securityvalue_missing_date,jeff bezos fortune continues to soar as amazon stock reaches n | SecurityValue.Increase_SecurityValue,,collected,x,,,,50,search/all,"""jeff bezos fortune continues to soar as amazon"" OR ""SecurityValue.Increase SecurityValue"" -is:retweet lang:en",50
jnj02_product_service_launch_missing_date,jj drug prevents heart attacks at cost of amputated toes | Product/Service.Launch,,collected,x,,,,50,search/all,"""jj drug prevents heart attacks at cost of"" OR ""Product/Service.Launch"" -is:retweet lang:en",50
jnj01_product_service_trial_missing_date,jj s zytiga boosts survival in new severe prostate cancers | Product/Service.Trial,,collected,x,,,,1,search/all,"""jj s zytiga boosts survival in new severe"" OR ""Product/Service.Trial"" -is:retweet lang:en",1
jnj04_financialreport_beat_missing_date,johnson johnson earnings when strong is nt strong enough | FinancialReport.Beat,,no_results,x,,,,0,search/all,"""johnson johnson earnings when strong is nt strong"" OR ""FinancialReport.Beat"" -is:retweet lang:en",0
jnj00_product_service_trial_missing_date,johnson johnson plans to file for approval 10 potential blockb | Product/Service.Trial,,collected,x,,,,1,search/all,"""johnson johnson plans to file for approval 10"" OR ""Product/Service.Trial"" -is:retweet lang:en",1
jnj03_product_service_trial_missing_date,johnson johnson s type 2 diabetes drug is stellar in cardiova | Product/Service.Trial,,collected,x,,,,1,search/all,"""johnson johnson s type 2 diabetes drug is"" OR ""Product/Service.Trial"" -is:retweet lang:en",1
nflx14_salesvolume_increase_salesvolume_missing_date,just ca nt get enough netflix subscriptions could grow despit | SalesVolume.Increase_SalesVolume,,no_results,x,,,,0,search/all,"""just ca nt get enough netflix subscriptions could"" OR ""SalesVolume.Increase SalesVolume"" -is:retweet lang:en",0
kmi00_securityvalue_decrease_securityvalue_missing_date,kinder morgan s canada ipo faces a challenge | SecurityValue.Decrease_SecurityValue,,collected,x,,,,1,search/all,"""kinder morgan s canada ipo faces a challenge"" OR ""SecurityValue.Decrease SecurityValue"" -is:retweet lang:en",1
kmi03_facility_open_missing_date,kmi launches canada ipo amid political uncertainty in bc | Facility.Open,,collected,x,,,,50,search/all,"""kmi launches canada ipo amid political uncertainty in"" OR ""Facility.Open"" -is:retweet lang:en",50
duk06_rating_buyoutperform_missing_date,like many of its peers duk is trading in the oversold zone | Rating.BuyOutperform,,no_results,x,,,,0,search/all,"""like many of its peers duk is trading"" OR ""Rating.BuyOutperform"" -is:retweet lang:en",0
f05_employment_start_missing_date,lucid motors is mulling sale after takeover talks with ford | Employment.Start,,collected,x,,,,50,search/all,"""lucid motors is mulling sale after takeover talks"" OR ""Employment.Start"" -is:retweet lang:en",50
fb04_csr_brand_missing_date,mark zuckerberg just sold 425 million of facebook stock | CSR/Brand,,collected,x,,,,42,search/all,"""mark zuckerberg just sold 425 million of facebook"" OR ""CSR/Brand"" -is:retweet lang:en",42
f03_salesvolume_increase_salesvolume_missing_date,may auto sales results reveal a new leader among detroit three | SalesVolume.Increase_SalesVolume,,no_results,x,,,,0,search/all,"""may auto sales results reveal a new leader"" OR ""SalesVolume.Increase SalesVolume"" -is:retweet lang:en",0
msft02_facility_open_missing_date,microsoft corp expanding its sa footprint with 50m new constr | Facility.Open,,collected,x,,,,50,search/all,"""microsoft corp expanding its sa footprint with 50m"" OR ""Facility.Open"" -is:retweet lang:en",50
msft01_product_service_launch_missing_date,microsoft revamped skype to look like snapchat | Product/Service.Launch,,collected,x,,,,50,search/all,"""microsoft revamped skype to look like snapchat"" OR ""Product/Service.Launch"" -is:retweet lang:en",50
msft03_product_service_launch_missing_date,microsoft surprises nobody with xbox one x price | Product/Service.Launch,,collected,x,,,,50,search/all,"""microsoft surprises nobody with xbox one x price"" OR ""Product/Service.Launch"" -is:retweet lang:en",50
msft04_product_service_launch_missing_date,microsoft ventures a look at redmond s latest 13 investments | Product/Service.Launch,,collected,x,,,,50,search/all,"""microsoft ventures a look at redmond s latest"" OR ""Product/Service.Launch"" -is:retweet lang:en",50
nflx02_product_service_cancellation_recall_missing_date,netflix can break hearts too | Product/Service.Cancellation/Recall,,no_results,x,,,,0,search/all,"""netflix can break hearts too"" OR ""Product/Service.Cancellation/Recall"" -is:retweet lang:en",0
nflx13_product_service_cancellation_recall_missing_date,netflix cuts ties with kevin spacey | Product/Service.Cancellation/Recall,,no_results,x,,,,0,search/all,"""netflix cuts ties with kevin spacey"" OR ""Product/Service.Cancellation/Recall"" -is:retweet lang:en",0
nflx00_salesvolume_increase_salesvolume_missing_date,netflix headed to 90 million users | SalesVolume.Increase_SalesVolume,,no_results,x,,,,0,search/all,"""netflix headed to 90 million users"" OR ""SalesVolume.Increase SalesVolume"" -is:retweet lang:en",0
nflx12_securityvalue_increase_securityvalue_missing_date,netflix raising 16 billion in bond market to fuel content acq | SecurityValue.Increase_SecurityValue,,no_results,x,,,,0,search/all,"""netflix raising 16 billion in bond market to"" OR ""SecurityValue.Increase SecurityValue"" -is:retweet lang:en",0
nflx01_revenue_increase_revenue_missing_date,netflix s stock is worth only about one third of where it trade | Revenue.Increase_Revenue,,collected,x,,,,9,search/all,"""netflix s stock is worth only about one"" OR ""Revenue.Increase Revenue"" -is:retweet lang:en",9
nflx11_salesvolume_increase_salesvolume_missing_date,netflix stock seesaws after third quarter subscriber beat | SalesVolume.Increase_SalesVolume,,collected,x,,,,1,search/all,"""netflix stock seesaws after third quarter subscriber beat"" OR ""SalesVolume.Increase SalesVolume"" -is:retweet lang:en",1
abbv02_salesvolume_decrease_salesvolume_missing_date,neupogen and enbrel could see falling revenues in 2017 | SalesVolume.Decrease_SalesVolume,,collected,x,,,,1,search/all,"""neupogen and enbrel could see falling revenues in"" OR ""SalesVolume.Decrease SalesVolume"" -is:retweet lang:en",1
wfc01_legal_conviction_settlement_missing_date,new york city bars wells fargo from banking work after scandals | Legal.Conviction/Settlement,,no_results,x,,,,0,search/all,"""new york city bars wells fargo from banking"" OR ""Legal.Conviction/Settlement"" -is:retweet lang:en",0
nem05_profit_loss_increase_profit_loss_missing_date,newmont barrick race for top gold crown comes down to a decimal | Profit/Loss.Increase_Profit/Loss,,no_results,x,,,,0,search/all,"""newmont barrick race for top gold crown comes"" OR ""Profit/Loss.Increase Profit/Loss"" -is:retweet lang:en",0
nem06_securityvalue_increase_securityvalue_missing_date,newmont mining is investors gold stock to buy | SecurityValue.Increase_SecurityValue,,collected,x,,,,15,search/all,"""newmont mining is investors gold stock to buy"" OR ""SecurityValue.Increase SecurityValue"" -is:retweet lang:en",15
nem02_rating_buyoutperform_missing_date,newmont mining ready to shine | Rating.BuyOutperform,,collected,x,,,,20,search/all,"""newmont mining ready to shine"" OR ""Rating.BuyOutperform"" -is:retweet lang:en",20
nem03_profit_loss_decrease_profit_loss_missing_date,newmont s lower margins understanding the analyst predictions | Profit/Loss.Decrease_Profit/Loss,,no_results,x,,,,0,search/all,"""newmont s lower margins understanding the analyst predictions"" OR ""Profit/Loss.Decrease Profit/Loss"" -is:retweet lang:en",0
amzn10_securityvalue_increase_securityvalue_missing_date,nokia amazon work signals public cloud telecom takeover says w | SecurityValue.Increase_SecurityValue,,collected,x,,,,45,search/all,"""nokia amazon work signals public cloud telecom takeover"" OR ""SecurityValue.Increase SecurityValue"" -is:retweet lang:en",45
amd09_product_service_launch_missing_date,nvidia and amd must brace for competition from a super powerful | Product/Service.Launch,,collected,x,,,,46,search/all,"""nvidia and amd must brace for competition from"" OR ""Product/Service.Launch"" -is:retweet lang:en",46
pg03_csr_brand_missing_date,pg ceo david taylor helps launch massive diversity initiative i | CSR/Brand,,collected,x,,,,32,search/all,"""pg ceo david taylor helps launch massive diversity"" OR ""CSR/Brand"" -is:retweet lang:en",32
pg02_product_service_cancellation_recall_missing_date,pg ceo says it is in ongoing constructive active talks wi | Product/Service.Cancellation/Recall,,no_results,x,,,,0,search/all,"""pg ceo says it is in ongoing constructive"" OR ""Product/Service.Cancellation/Recall"" -is:retweet lang:en",0
pg04_employment_start_missing_date,pg names vice chairman promotes two other top executives | Employment.Start,,collected,x,,,,50,search/all,"""pg names vice chairman promotes two other top"" OR ""Employment.Start"" -is:retweet lang:en",50
duk04_profit_loss_increase_profit_loss_missing_date,piedmont natural gas a money maker for duke energy in first full | Profit/Loss.Increase_Profit/Loss,,no_results,x,,,,0,search/all,"""piedmont natural gas a money maker for duke"" OR ""Profit/Loss.Increase Profit/Loss"" -is:retweet lang:en",0
ge07_macroeconomics_missing_date,pratt s 10 billion jet engine lags ge by 10 to 1 on new order | Macroeconomics,,collected,x,,,,50,search/all,"""pratt s 10 billion jet engine lags ge"" OR ""Macroeconomics"" -is:retweet lang:en",48
pg05_expense_decrease_expense_missing_date,procter gamble co s proxy fight what investors need to know | Expense.Decrease_Expense,,collected,x,,,,2,search/all,"""procter gamble co s proxy fight what investors"" OR ""Expense.Decrease Expense"" -is:retweet lang:en",2
pg01_product_service_launch_missing_date,razor wars continue gillette cut by old time rival | Product/Service.Launch,,collected,x,,,,50,search/all,"""razor wars continue gillette cut by old time"" OR ""Product/Service.Launch"" -is:retweet lang:en",50
ba10_securityvalue_increase_securityvalue_missing_date,reduce holdings on boeing and 3 other defense stocks pre earning | SecurityValue.Increase_SecurityValue,,collected,x,,,,25,search/all,"""reduce holdings on boeing and 3 other defense"" OR ""SecurityValue.Increase SecurityValue"" -is:retweet lang:en",25
duk01_expense_increase_expense_missing_date,regulators to duke energy do you still want the lee nuclear pl | Expense.Increase_Expense,,collected,x,,,,1,search/all,"""regulators to duke energy do you still want"" OR ""Expense.Increase Expense"" -is:retweet lang:en",1
amd11_product_service_launch_missing_date,reviews confirm with radeon rx vega amd re enters the performa | Product/Service.Launch,,collected,x,,,,45,search/all,"""reviews confirm with radeon rx vega amd re"" OR ""Product/Service.Launch"" -is:retweet lang:en",45
ba15_securityvalue_increase_securityvalue_missing_date,should boeing buy ge aviation | SecurityValue.Increase_SecurityValue,,collected,x,,,,12,search/all,"""should boeing buy ge aviation"" OR ""SecurityValue.Increase SecurityValue"" -is:retweet lang:en",12
dis10_product_service_launch_missing_date,stocks in red that might produce some green | Product/Service.Launch,,collected,x,,,,50,search/all,"""stocks in red that might produce some green"" OR ""Product/Service.Launch"" -is:retweet lang:en",50
